Шахунья,19529
Алагир,19436
Усмань,19302
Оха,19292
Пикалёво,19250
Ардон,19236
Никольск,19087
Боготол,18805
Чегем,18726
Нижняя,18720
Черепаново,18665
Няндома,18656
Лебедянь,18627
Сортавала,18600
Лодейное,18558
Пролетарск,18457
Новый,18439
Губаха,18336
Покачи,18328
Кировград,18319
Данков,18311
Шимановск,18299
Ковылкино,18296
Радужный,18281
Бакал,18173
Суровикино,18171
Абдулино,18169
Слюдянка,18128
Зеленоградск,18098
Волоколамск,17967
Ершов,17919
Стародуб,17911
Енисейск,17795
Нытва,17783
Онега,17745
Кукмор,17699
Яровое,17693
Нефтегорск,17663
Приозерск,17553
Белоозёрский,17552
Льгов,17484
Николаевск-на-Амуре,17458
Калач,17445
Нелидово,17179
Голицыно,17170
Юрьев-Польский,17168
Зверево,17124
Полярный,17105
Харабали,17102
Шумиха,17066
Краснослободск,17040
Баймак,17008
Нижняя,16960
Пласт,16941
Туринск,16917
Суворов,16903
Мензелинск,16713
Поворино,16666
Инза,16666
Светлогорск,16655
Собинка,16647
Константиновск,16607
Арамиль,16569
Карачев,16525
Покров,16472
Галич,16433
Куртамыш,16308
Райчихинск,16251
Куса,16231
Белогорск,16213
Подпорожье,16160
Козельск,16160
Жуковка,16133
Гаврилов-Ям,16122
Новомичуринск,16118
Поронайск,16117
Судак,15969
Почеп,15963
Рыльск,15943
Волгореченск,15908
Бикин,15900
Сельцо,15867
Бородино,15838
Мамадыш,15796
Камызяк,15647
Кирсанов,15553
Новоаннинский,15551
Ковдор,15525
Петровск-Забайкальский,15438
Плавск,15429
Магас,15279
Талица,15227
Межгорье,15192
Ужур,15170
Барыш,15149
Болотное,15135
Катав-Ивановск,15126
Кодинск,15116
Касли,15111
Анадырь,15079
Жирновск,15055
Карабаново,15054
Цивильск,15025
Яранск,15015
Калининск,15011
Белокуриха,14991
Дегтярск,14973
Приволжск,14944
Ивдель,14935
Осташков,14912
Советск,14869
Ясный,14846
Светогорск,14731
Иланский,14673
Новоузенск,14650
Шлиссельбург,14643
Грязовец,14633
Ясногорск,14603
Пестово,14589
Щигры,14556
Абаза,14501
Красновишерск,14496
Бокситогорск,14491
Сухиничи,14484
Кондрово,14462
Нерчинск,14447
Мантурово,14400
Данилов,14331
Цимлянск,14309
Ленинск,14221
Полярные,14209
Навашино,14194
Очёр,14143
Палласовка,14033
Невель,13969
Заполярный,13939
Жуков,13902
Жердевка,13727
Валдай,13724
Купино,13695
Лакинск,13682
Красный,13661
Ак-Довурак,13640
Медвежьегорск,13620
Агидель,13616
Яхрома,13573
Венёв,13558
Чудово,13531
Трубчевск,13514
Лукоянов,13419
Новоульяновск,13367
Кашин,13282
Гвардейск,13223
Пересвет,13130
Николаевск,13097
Обоянь,13076
Меленки,13042
Первомайск,13011
Снежногорск,12995
Вяземский,12992
Кизел,12977
Дубовка,12948
Удачный,12918
Адыгейск,12910
Могоча,12861
Пионерский,12860
Гаджиево,12731
Струнино,12699
Свирск,12602
Лагань,12597
Краснозаводск,12542
Гороховец,12442
Талдом,12423
Фокино,12364
Байкальск,12321
Емва,12309
Шилка,12270
Урень,12244
Руза,12218
Катайск,12171
Белёв,12151
Петров,12130
Калязин,12114
Сясьстрой,12069
Хвалынск,12032
Бодайбо,11978
Сим,11946
Долинск,11891
Горняк,11866
Южа,11837
Уяр,11825
Далматово,11824
Петушки,11651
Чаплыгин,11621
Камешково,11603
Новая,11465
Волосово,11429
